municipio,IBGE,uf,c1,c2,c3,c999,ciclo
Porto Velho,110012,RO,9,2,0,0,Ciclo 1
Rio Branco,120040,AC,50,12,5,0,Ciclo 1
Manaus,130260,AM,200,13,12,0,Ciclo 1
Boa Vista,140010,RR,15,16,5,0,Ciclo 1
Belém,150140,PA,46,15,12,0,Ciclo 1
Bragança,150170,PA,17,0,4,0,Ciclo 1
Marabá,150420,PA,12,3,1,0,Ciclo 1
Marituba,150442,PA,11,2,1,0,Ciclo 1
Parauapebas,150553,PA,12,2,1,0,Ciclo 1
Macapá,160030,AP,24,7,18,0,Ciclo 1
Araguaína,170210,TO,17,0,0,0,Ciclo 1
Palmas,172100,TO,27,3,3,0,Ciclo 1
Paço do Lumiar,210750,MA,9,1,0,0,Ciclo 1
São Luís,211130,MA,29,14,7,0,Ciclo 1
Timon,211220,MA,33,1,3,0,Ciclo 1
Parnaíba,220770,PI,13,9,9,0,Ciclo 1
Teresina,221100,PI,69,9,4,0,Ciclo 1
Caucaia,230370,CE,39,6,1,0,Ciclo 1
Fortaleza,230440,CE,41,48,2,0,Ciclo 1
Maracanaú,230765,CE,28,0,2,0,Ciclo 1
Parnamirim,240325,RN,20,1,0,0,Ciclo 1
Natal,240810,RN,49,4,0,0,Ciclo 1
João Pessoa,250750,PB,129,15,7,0,Ciclo 1
Santa Rita,251370,PB,36,1,5,0,Ciclo 1
Cabo de Santo Agostinho,260290,PE,33,0,7,0,Ciclo 1
Camaragibe,260345,PE,37,2,0,0,Ciclo 1
Igarassu,260680,PE,30,1,0,0,Ciclo 1
Jaboatão dos Guararapes,260790,PE,75,9,6,0,Ciclo 1
Olinda,260960,PE,32,0,8,0,Ciclo 1
Petrolina,261110,PE,23,18,10,0,Ciclo 1
Recife,261160,PE,127,8,4,0,Ciclo 1
São Lourenço da Mata,261370,PE,10,0,5,0,Ciclo 1
Maceió,270430,AL,19,7,11,0,Ciclo 1
Aracaju,280030,SE,40,1,2,0,Ciclo 1
Nossa Senhora do Socorro,280480,SE,19,0,3,0,Ciclo 1
Camaçari,290570,BA,19,13,4,0,Ciclo 1
Porto Seguro,292530,BA,26,1,1,0,Ciclo 1
Salvador,292740,BA,74,24,9,0,Ciclo 1
Teixeira de Freitas,293135,BA,31,1,2,0,Ciclo 1
Belo Horizonte,310620,MG,122,16,9,0,Ciclo 1
Governador Valadares,312770,MG,50,4,12,0,Ciclo 1
Juiz de Fora,313670,MG,57,2,4,0,Ciclo 1
Ribeirão das Neves,315460,MG,56,1,0,0,Ciclo 1
Sabará,315670,MG,15,0,0,0,Ciclo 1
Santa Luzia,315780,MG,23,1,0,0,Ciclo 1
Teófilo Otoni,316860,MG,16,16,6,0,Ciclo 1
Vespasiano,317120,MG,8,0,7,0,Ciclo 1
Cariacica,320130,ES,23,0,5,0,Ciclo 1
Guarapari,320240,ES,15,0,6,0,Ciclo 1
Linhares,320320,ES,25,1,3,0,Ciclo 1
São Mateus,320490,ES,23,0,2,0,Ciclo 1
Serra,320500,ES,24,8,2,0,Ciclo 1
Vila Velha,320520,ES,13,1,2,0,Ciclo 1
Vitória,320530,ES,25,0,1,0,Ciclo 1
Belford Roxo,330045,RJ,20,4,3,0,Ciclo 1
Duque de Caxias,330170,RJ,58,18,7,0,Ciclo 1
Itaboraí,330190,RJ,35,2,3,0,Ciclo 1
Magé,330250,RJ,40,17,4,0,Ciclo 1
Maricá,330270,RJ,14,3,6,0,Ciclo 1
Mesquita,330285,RJ,15,2,4,0,Ciclo 1
Nilópolis,330320,RJ,6,1,0,0,Ciclo 1
Niterói,330330,RJ,32,8,0,0,Ciclo 1
Nova Iguaçu,330350,RJ,16,14,26,0,Ciclo 1
Queimados,330414,RJ,8,2,3,0,Ciclo 1
Resende,330420,RJ,26,0,0,0,Ciclo 1
Rio de Janeiro,330455,RJ,168,8,2,1,Ciclo 1
São Gonçalo,330490,RJ,116,10,4,0,Ciclo 1
São João de Meriti,330510,RJ,10,4,2,0,Ciclo 1
Bauru,350600,SP,19,0,0,0,Ciclo 1
Botucatu,350750,SP,14,0,0,0,Ciclo 1
Cubatão,351350,SP,13,0,0,0,Ciclo 1
Guarujá,351870,SP,16,0,0,0,Ciclo 1
Itapetininga,352230,SP,22,0,1,0,Ciclo 1
Itaquaquecetuba,352310,SP,16,0,0,0,Ciclo 1
Ourinhos,353470,SP,11,1,5,0,Ciclo 1
Praia Grande,354100,SP,19,0,1,0,Ciclo 1
São Paulo,355030,SP,386,29,12,0,Ciclo 1
Almirante Tamandaré,410040,PR,10,0,0,0,Ciclo 1
Curitiba,410690,PR,100,1,0,0,Ciclo 1
Florianópolis,420540,SC,44,2,3,0,Ciclo 1
Palhoça,421190,SC,17,0,2,0,Ciclo 1
São José,421660,SC,15,0,4,0,Ciclo 1
Alvorada,430060,RS,13,0,0,0,Ciclo 1
Bento Gonçalves,430210,RS,20,0,2,0,Ciclo 1
Canoas,430460,RS,24,2,5,0,Ciclo 1
Caxias do Sul,430510,RS,41,0,3,0,Ciclo 1
Passo Fundo,431410,RS,31,0,15,0,Ciclo 1
Porto Alegre,431490,RS,189,11,6,0,Ciclo 1
Rio Grande,431560,RS,22,1,6,0,Ciclo 1
Santa Cruz do Sul,431680,RS,17,1,6,0,Ciclo 1
Santa Maria,431690,RS,22,1,3,0,Ciclo 1
São Leopoldo,431870,RS,16,0,1,0,Ciclo 1
Sapucaia do Sul,432000,RS,15,1,1,0,Ciclo 1
Viamão,432300,RS,11,0,1,0,Ciclo 1
Campo Grande,500270,MS,55,1,2,0,Ciclo 1
Dourados,500370,MS,30,2,0,0,Ciclo 1
Cuiabá,510340,MT,58,0,6,0,Ciclo 1
Goiânia,520870,GO,74,8,2,0,Ciclo 1
Luziânia,521250,GO,12,4,12,0,Ciclo 1
Brasília,530010,DF,119,15,11,0,Ciclo 1
Porto Velho,110012,RO,10,0,0,NA,Ciclo 2
Rio Branco,120040,AC,22,0,0,NA,Ciclo 2
Manaus,130260,AM,127,8,7,NA,Ciclo 2
Boa Vista,140010,RR,21,2,0,NA,Ciclo 2
Belém,150140,PA,35,6,1,NA,Ciclo 2
Bragança,150170,PA,12,0,0,NA,Ciclo 2
Marituba,150442,PA,7,4,1,NA,Ciclo 2
Parauapebas,150553,PA,5,0,0,NA,Ciclo 2
Macapá,160030,AP,18,6,1,NA,Ciclo 2
Araguaína,170210,TO,13,0,3,NA,Ciclo 2
Palmas,172100,TO,31,1,0,NA,Ciclo 2
Paço do Lumiar,210750,MA,3,0,0,NA,Ciclo 2
São Luís,211130,MA,26,9,1,NA,Ciclo 2
Timon,211220,MA,21,0,0,NA,Ciclo 2
Parnaíba,220770,PI,27,1,0,NA,Ciclo 2
Teresina,221100,PI,8,0,1,NA,Ciclo 2
Caucaia,230370,CE,26,1,0,NA,Ciclo 2
Fortaleza,230440,CE,26,3,1,NA,Ciclo 2
Maracanaú,230765,CE,27,0,0,NA,Ciclo 2
Parnamirim,240325,RN,20,0,0,NA,Ciclo 2
Natal,240810,RN,25,8,1,NA,Ciclo 2
João Pessoa,250750,PB,76,8,14,NA,Ciclo 2
Santa Rita,251370,PB,25,3,5,NA,Ciclo 2
Cabo de Santo Agostinho,260290,PE,34,3,0,NA,Ciclo 2
Camaragibe,260345,PE,26,2,10,NA,Ciclo 2
Igarassu,260680,PE,21,1,3,NA,Ciclo 2
Jaboatão dos Guararapes,260790,PE,36,4,1,NA,Ciclo 2
Olinda,260960,PE,31,7,1,NA,Ciclo 2
Petrolina,261110,PE,22,4,1,NA,Ciclo 2
Recife,261160,PE,107,6,8,NA,Ciclo 2
São Lourenço da Mata,261370,PE,20,1,3,NA,Ciclo 2
Maceió,270430,AL,11,6,1,NA,Ciclo 2
Aracaju,280030,SE,25,2,2,NA,Ciclo 2
Nossa Senhora do Socorro,280480,SE,8,0,0,NA,Ciclo 2
Camaçari,290570,BA,6,2,3,NA,Ciclo 2
Porto Seguro,292530,BA,32,1,0,NA,Ciclo 2
Salvador,292740,BA,26,2,6,NA,Ciclo 2
Teixeira de Freitas,293135,BA,33,1,0,NA,Ciclo 2
Belo Horizonte,310620,MG,129,8,9,NA,Ciclo 2
Governador Valadares,312770,MG,41,0,0,NA,Ciclo 2
Juiz de Fora,313670,MG,12,0,1,NA,Ciclo 2
Ribeirão das Neves,315460,MG,29,1,0,NA,Ciclo 2
Sabará,315670,MG,5,0,0,NA,Ciclo 2
Santa Luzia,315780,MG,14,2,1,NA,Ciclo 2
Teófilo Otoni,316860,MG,24,0,0,NA,Ciclo 2
Vespasiano,317120,MG,11,0,0,NA,Ciclo 2
Cariacica,320130,ES,8,1,1,NA,Ciclo 2
Guarapari,320240,ES,2,0,0,NA,Ciclo 2
Linhares,320320,ES,18,0,0,NA,Ciclo 2
São Mateus,320490,ES,8,0,0,NA,Ciclo 2
Serra,320500,ES,18,1,0,NA,Ciclo 2
Vila Velha,320520,ES,1,0,0,NA,Ciclo 2
Vitória,320530,ES,22,0,0,NA,Ciclo 2
Belford Roxo,330045,RJ,13,0,2,NA,Ciclo 2
Duque de Caxias,330170,RJ,18,25,11,NA,Ciclo 2
Itaboraí,330190,RJ,23,1,1,NA,Ciclo 2
Magé,330250,RJ,9,1,0,NA,Ciclo 2
Maricá,330270,RJ,14,1,1,NA,Ciclo 2
Mesquita,330285,RJ,2,4,4,NA,Ciclo 2
Nilópolis,330320,RJ,7,2,0,NA,Ciclo 2
Niterói,330330,RJ,26,1,0,NA,Ciclo 2
Nova Iguaçu,330350,RJ,24,5,2,NA,Ciclo 2
Queimados,330414,RJ,8,1,1,NA,Ciclo 2
Resende,330420,RJ,20,0,0,NA,Ciclo 2
Rio de Janeiro,330455,RJ,167,5,0,NA,Ciclo 2
São Gonçalo,330490,RJ,76,26,24,NA,Ciclo 2
São João de Meriti,330510,RJ,13,2,0,NA,Ciclo 2
Bauru,350600,SP,4,0,0,NA,Ciclo 2
Botucatu,350750,SP,11,0,0,NA,Ciclo 2
Cubatão,351350,SP,6,0,0,NA,Ciclo 2
Guarujá,351870,SP,9,0,0,NA,Ciclo 2
Itapetininga,352230,SP,9,0,0,NA,Ciclo 2
Itaquaquecetuba,352310,SP,1,0,0,NA,Ciclo 2
Ourinhos,353470,SP,2,0,2,NA,Ciclo 2
Praia Grande,354100,SP,15,0,1,NA,Ciclo 2
São Paulo,355030,SP,239,23,3,NA,Ciclo 2
Almirante Tamandaré,410040,PR,6,0,0,NA,Ciclo 2
Curitiba,410690,PR,100,1,0,NA,Ciclo 2
Florianópolis,420540,SC,43,1,0,NA,Ciclo 2
Palhoça,421190,SC,17,2,0,NA,Ciclo 2
São José,421660,SC,19,0,0,NA,Ciclo 2
Alvorada,430060,RS,13,0,0,NA,Ciclo 2
Bento Gonçalves,430210,RS,11,0,0,NA,Ciclo 2
Canoas,430460,RS,9,1,1,NA,Ciclo 2
Caxias do Sul,430510,RS,22,0,0,NA,Ciclo 2
Passo Fundo,431410,RS,15,0,0,NA,Ciclo 2
Porto Alegre,431490,RS,121,7,3,NA,Ciclo 2
Rio Grande,431560,RS,18,0,0,NA,Ciclo 2
Santa Cruz do Sul,431680,RS,11,0,0,NA,Ciclo 2
Santa Maria,431690,RS,13,0,0,NA,Ciclo 2
São Leopoldo,431870,RS,9,0,0,NA,Ciclo 2
Sapucaia do Sul,432000,RS,14,0,0,NA,Ciclo 2
Campo Grande,500270,MS,34,0,0,NA,Ciclo 2
Dourados,500370,MS,24,0,0,NA,Ciclo 2
Cuiabá,510340,MT,30,15,5,NA,Ciclo 2
Goiânia,520870,GO,52,3,4,NA,Ciclo 2
Luziânia,521250,GO,11,6,0,NA,Ciclo 2
Brasília,530010,DF,54,4,2,NA,Ciclo 2
Porto Velho,110012,RO,12,0,NA,NA,Ciclo 3
Rio Branco,120040,AC,37,4,NA,NA,Ciclo 3
Manaus,130260,AM,169,10,NA,NA,Ciclo 3
Boa Vista,140010,RR,28,4,NA,NA,Ciclo 3
Belém,150140,PA,47,6,NA,NA,Ciclo 3
Bragança,150170,PA,15,2,NA,NA,Ciclo 3
Marabá,150420,PA,11,0,NA,NA,Ciclo 3
Marituba,150442,PA,13,0,NA,NA,Ciclo 3
Parauapebas,150553,PA,9,0,NA,NA,Ciclo 3
Macapá,160030,AP,32,4,NA,NA,Ciclo 3
Araguaína,170210,TO,16,1,NA,NA,Ciclo 3
Palmas,172100,TO,30,2,NA,NA,Ciclo 3
Paço do Lumiar,210750,MA,8,0,NA,NA,Ciclo 3
São Luís,211130,MA,46,1,NA,NA,Ciclo 3
Timon,211220,MA,33,0,NA,NA,Ciclo 3
Parnaíba,220770,PI,27,5,NA,NA,Ciclo 3
Teresina,221100,PI,23,0,NA,NA,Ciclo 3
Caucaia,230370,CE,45,0,NA,NA,Ciclo 3
Fortaleza,230440,CE,43,5,NA,NA,Ciclo 3
Maracanaú,230765,CE,27,0,NA,NA,Ciclo 3
Parnamirim,240325,RN,28,0,NA,NA,Ciclo 3
Natal,240810,RN,40,2,NA,NA,Ciclo 3
João Pessoa,250750,PB,97,0,NA,NA,Ciclo 3
Santa Rita,251370,PB,28,1,NA,NA,Ciclo 3
Cabo de Santo Agostinho,260290,PE,36,2,NA,NA,Ciclo 3
Camaragibe,260345,PE,43,0,NA,NA,Ciclo 3
Igarassu,260680,PE,27,2,NA,NA,Ciclo 3
Jaboatão dos Guararapes,260790,PE,73,1,NA,NA,Ciclo 3
Olinda,260960,PE,29,10,NA,NA,Ciclo 3
Petrolina,261110,PE,38,1,NA,NA,Ciclo 3
Recife,261160,PE,55,15,NA,NA,Ciclo 3
São Lourenço da Mata,261370,PE,7,10,NA,NA,Ciclo 3
Maceió,270430,AL,34,1,NA,NA,Ciclo 3
Aracaju,280030,SE,42,1,NA,NA,Ciclo 3
Nossa Senhora do Socorro,280480,SE,14,2,NA,NA,Ciclo 3
Camaçari,290570,BA,8,1,NA,NA,Ciclo 3
Porto Seguro,292530,BA,25,0,NA,NA,Ciclo 3
Salvador,292740,BA,38,5,NA,NA,Ciclo 3
Teixeira de Freitas,293135,BA,33,0,NA,NA,Ciclo 3
Belo Horizonte,310620,MG,114,8,NA,NA,Ciclo 3
Governador Valadares,312770,MG,42,0,NA,NA,Ciclo 3
Juiz de Fora,313670,MG,28,9,NA,NA,Ciclo 3
Ribeirão das Neves,315460,MG,43,6,NA,NA,Ciclo 3
Sabará,315670,MG,6,0,NA,NA,Ciclo 3
Santa Luzia,315780,MG,25,0,NA,NA,Ciclo 3
Teófilo Otoni,316860,MG,29,3,NA,NA,Ciclo 3
Vespasiano,317120,MG,8,0,NA,NA,Ciclo 3
Cariacica,320130,ES,4,1,NA,NA,Ciclo 3
Guarapari,320240,ES,13,1,NA,NA,Ciclo 3
Linhares,320320,ES,19,0,NA,NA,Ciclo 3
São Mateus,320490,ES,13,0,NA,NA,Ciclo 3
Serra,320500,ES,20,1,NA,NA,Ciclo 3
Vila Velha,320520,ES,7,1,NA,NA,Ciclo 3
Vitória,320530,ES,19,1,NA,NA,Ciclo 3
Belford Roxo,330045,RJ,12,5,NA,NA,Ciclo 3
Duque de Caxias,330170,RJ,18,2,NA,NA,Ciclo 3
Itaboraí,330190,RJ,32,2,NA,NA,Ciclo 3
Magé,330250,RJ,12,0,NA,NA,Ciclo 3
Maricá,330270,RJ,17,0,NA,NA,Ciclo 3
Mesquita,330285,RJ,12,0,NA,NA,Ciclo 3
Nilópolis,330320,RJ,9,0,NA,NA,Ciclo 3
Niterói,330330,RJ,30,6,NA,NA,Ciclo 3
Nova Iguaçu,330350,RJ,37,3,NA,NA,Ciclo 3
Queimados,330414,RJ,10,0,NA,NA,Ciclo 3
Resende,330420,RJ,10,0,NA,NA,Ciclo 3
Rio de Janeiro,330455,RJ,188,2,NA,NA,Ciclo 3
São Gonçalo,330490,RJ,99,9,NA,NA,Ciclo 3
São João de Meriti,330510,RJ,15,0,NA,NA,Ciclo 3
Bauru,350600,SP,6,1,NA,NA,Ciclo 3
Botucatu,350750,SP,14,0,NA,NA,Ciclo 3
Cubatão,351350,SP,6,0,NA,NA,Ciclo 3
Guarujá,351870,SP,10,0,NA,NA,Ciclo 3
Itapetininga,352230,SP,7,1,NA,NA,Ciclo 3
Itaquaquecetuba,352310,SP,6,0,NA,NA,Ciclo 3
Ourinhos,353470,SP,5,0,NA,NA,Ciclo 3
Praia Grande,354100,SP,18,3,NA,NA,Ciclo 3
São Paulo,355030,SP,263,3,NA,NA,Ciclo 3
Almirante Tamandaré,410040,PR,3,0,NA,NA,Ciclo 3
Curitiba,410690,PR,89,0,NA,NA,Ciclo 3
Florianópolis,420540,SC,47,0,NA,NA,Ciclo 3
Palhoça,421190,SC,20,1,NA,NA,Ciclo 3
São José,421660,SC,17,0,NA,NA,Ciclo 3
Alvorada,430060,RS,14,1,NA,NA,Ciclo 3
Bento Gonçalves,430210,RS,11,0,NA,NA,Ciclo 3
Canoas,430460,RS,22,2,NA,NA,Ciclo 3
Caxias do Sul,430510,RS,18,0,NA,NA,Ciclo 3
Passo Fundo,431410,RS,13,0,NA,NA,Ciclo 3
Porto Alegre,431490,RS,126,3,NA,NA,Ciclo 3
Rio Grande,431560,RS,22,0,NA,NA,Ciclo 3
Santa Cruz do Sul,431680,RS,16,0,NA,NA,Ciclo 3
Santa Maria,431690,RS,13,0,NA,NA,Ciclo 3
São Leopoldo,431870,RS,10,0,NA,NA,Ciclo 3
Sapucaia do Sul,432000,RS,17,0,NA,NA,Ciclo 3
Viamão,432300,RS,12,0,NA,NA,Ciclo 3
Campo Grande,500270,MS,33,0,NA,NA,Ciclo 3
Dourados,500370,MS,25,2,NA,NA,Ciclo 3
Cuiabá,510340,MT,44,1,NA,NA,Ciclo 3
Goiânia,520870,GO,60,1,NA,NA,Ciclo 3
Luziânia,521250,GO,17,2,NA,NA,Ciclo 3
Brasília,530010,DF,58,13,NA,NA,Ciclo 3
